PID=27867
27867 27164   501 haewonkim Mon09PM  19:16.99 S+   /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python -m uvicorn app.main:app --host 127.0.0.1 --port 8000

COMMAND   PID      USER   FD   TYPE DEVICE SIZE/OFF                NODE NAME
Python  27867 haewonkim  txt    REG   1,14   231984            72864167 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_common.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   100016            72868654 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/ccalendar.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    79840            72868598 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/ops_dispatch.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   195440            72868625 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/missing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   160784            72868662 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/dtypes.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   102240            72868591 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/properties.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    91664            88125973 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_csv.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   178944            72868606 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/_cyutility.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  1294288            88123425 /opt/homebrew/Cellar/sqlite/3.53.1/lib/libsqlite3.3.53.1.dylib
Python  27867 haewonkim  txt    REG   1,14   527712            72864165 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/mtrand.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   100304            72868626 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/hashing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   158208            72868668 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/np_datetime.cpython-313-darwin.so
